location,date,new_cases_per_million,Rank
Afghanistan,2021-01-04,38.147,158.0
Africa,2021-01-08,27.207,166.0
Albania,2021-02-09,430.537,82.0
Algeria,2020-11-24,25.837,167.0
Andorra,2020-10-12,3869.799,2.0
Angola,2020-10-25,10.801,185.0
Antigua and Barbuda,2021-02-17,837.35,49.0
Argentina,2021-04-16,652.096,66.0
Armenia,2020-11-07,835.574,50.0
Asia,2021-04-27,105.608,126.0
Australia,2020-07-29,28.079,163.0
Austria,2020-11-13,1064.354,38.0
Azerbaijan,2020-12-13,438.99,80.0
Bahamas,2020-10-10,788.307,52.0
Bahrain,2021-04-03,773.397,54.0
Bangladesh,2021-04-07,46.305,150.0
Barbados,2021-02-15,720.323,60.0
Belarus,2020-12-12,209.01,112.0
Belgium,2020-10-29,2064.003,12.0
Belize,2020-12-03,3475.672,3.0
Benin,2021-03-03,52.544,143.0
Bhutan,2020-12-25,73.871,132.0
Bolivia,2021-01-27,245.523,101.0
Bosnia and Herzegovina,2021-03-29,1144.533,34.0
Botswana,2021-03-01,1001.86,40.0
Brazil,2021-03-25,471.2,77.0
Brunei,2020-03-13,59.431,139.0
Bulgaria,2021-04-07,1088.013,36.0
Burkina Faso,2020-12-12,15.069,181.0
Burundi,2021-04-20,13.96,182.0
Cambodia,2021-04-23,39.177,157.0
Cameroon,2021-04-01,364.2,91.0
Canada,2021-01-03,427.665,83.0
Cape Verde,2021-04-18,883.113,47.0
Central African Republic,2021-04-21,50.934,146.0
Chad,2021-01-09,5.54,194.0
Chile,2020-06-06,731.84,58.0
China,2020-02-13,10.516,186.0
Colombia,2021-01-15,414.245,86.0
Comoros,2021-01-14,269.091,97.0
Congo,2020-09-02,117.613,123.0
Costa Rica,2021-01-04,611.49,69.0
Cote d'Ivoire,2021-03-25,29.077,162.0
Croatia,2020-12-10,1125.383,35.0
Cuba,2021-04-23,109.565,125.0
Cyprus,2021-04-20,1074.325,37.0
Czechia,2021-01-07,1659.635,17.0
Democratic Republic of Congo,2021-02-26,6.108,191.0
Denmark,2020-12-18,778.288,53.0
Djibouti,2021-04-06,420.04,84.0
Dominica,2021-01-06,236.141,107.0
Dominican Republic,2021-01-16,218.475,109.0
Ecuador,2020-04-24,653.855,65.0
Egypt,2020-06-19,17.335,178.0
El Salvador,2021-04-11,153.865,119.0
Equatorial Guinea,2020-07-31,1247.34,28.0
Eritrea,2021-01-14,58.933,140.0
Estonia,2021-03-11,1474.514,21.0
Eswatini,2021-04-12,876.6,48.0
Ethiopia,2021-04-01,20.633,172.0
Europe,2020-11-02,462.744,79.0
European Union,2020-11-02,617.524,68.0
Fiji,2021-04-26,13.386,183.0
Finland,2021-03-14,155.756,117.0
France,2021-04-11,1730.066,15.0
Gabon,2021-04-14,267.328,99.0
Gambia,2020-08-23,102.621,127.0
Georgia,2020-12-05,1366.197,27.0
Germany,2020-12-30,585.363,70.0
Ghana,2021-01-31,50.945,145.0
Greece,2021-03-30,414.658,85.0
Grenada,2020-12-13,231.072,108.0
Guatemala,2020-07-18,236.275,106.0
Guinea,2021-03-21,23.986,170.0
Guinea-Bissau,2020-05-04,79.268,131.0
Guyana,2021-04-23,272.071,96.0
Haiti,2020-06-07,24.907,168.0
Honduras,2021-04-22,243.826,102.0
Hungary,2021-03-26,1166.107,30.0
Iceland,2020-10-09,310.623,92.0
India,2021-04-27,261.54,100.0
Indonesia,2021-01-30,53.078,142.0
Iran,2021-04-14,304.573,94.0
Iraq,2021-04-21,216.197,111.0
Ireland,2021-01-08,1666.128,16.0
Israel,2021-01-27,1378.77,26.0
Italy,2020-11-13,676.493,64.0
Jamaica,2021-03-08,296.505,95.0
Japan,2021-01-08,62.17,137.0
Jordan,2021-03-17,934.516,43.0
Kazakhstan,2020-07-01,998.95,41.0
Kenya,2021-03-26,37.343,159.0
Kosovo,2021-03-29,2202.534,8.0
Kuwait,2021-03-04,401.821,88.0
Kyrgyzstan,2020-07-18,1763.437,14.0
Laos,2021-04-26,15.531,180.0
Latvia,2020-12-31,986.639,42.0
Lebanon,2021-01-15,901.627,46.0
Lesotho,2021-01-06,434.589,81.0
Liberia,2021-01-12,19.179,175.0
Libya,2020-10-25,238.529,104.0
Liechtenstein,2020-12-24,1625.718,18.0
Lithuania,2020-12-30,1463.473,23.0
Luxembourg,2020-11-02,3142.293,5.0
Madagascar,2021-03-13,43.371,152.0
Malawi,2021-01-22,68.793,134.0
Malaysia,2021-01-30,176.976,115.0
Maldives,2021-04-27,714.098,61.0
Mali,2021-04-08,20.394,174.0
Malta,2021-03-10,1155.051,32.0
Marshall Islands,2020-11-17,50.681,147.0
Mauritania,2020-12-15,63.661,135.0
Mauritius,2021-03-28,48.751,149.0
Mexico,2020-10-05,218.059,110.0
Micronesia (country),2021-01-21,8.694,188.0
Moldova,2021-03-24,563.466,72.0
Monaco,2021-01-30,1146.672,33.0
Mongolia,2021-04-23,770.828,55.0
Montenegro,2020-11-04,1391.582,25.0
Morocco,2020-11-12,167.838,116.0
Mozambique,2021-01-29,40.793,153.0
Myanmar,2020-10-10,39.662,156.0
Namibia,2020-12-25,268.801,98.0
Nepal,2020-10-21,197.105,114.0
Netherlands,2020-12-20,762.889,56.0
New Zealand,2020-04-05,18.456,176.0
Nicaragua,2020-05-26,72.458,133.0
Niger,2020-12-17,5.99,192.0
Nigeria,2021-01-23,11.953,184.0
North America,2021-01-08,552.863,73.0
North Macedonia,2021-03-31,725.264,59.0
Norway,2020-11-17,309.892,93.0
Oceania,2020-08-04,16.871,179.0
Oman,2021-04-11,694.001,62.0
Pakistan,2020-06-14,54.656,141.0
Palestine,2021-04-08,565.333,71.0
Panama,2021-01-06,1201.919,29.0
Papua New Guinea,2021-03-26,61.585,138.0
Paraguay,2021-04-17,537.818,74.0
Peru,2020-08-02,647.765,67.0
Philippines,2021-04-02,139.604,121.0
Poland,2021-04-01,931.471,44.0
Portugal,2021-01-28,1611.501,20.0
Qatar,2020-05-30,817.407,51.0
Romania,2020-11-18,533.796,75.0
Russia,2020-12-24,202.139,113.0
Rwanda,2021-01-26,44.317,151.0
Saint Kitts and Nevis,2020-03-30,93.999,129.0
Saint Lucia,2021-03-02,2118.402,10.0
Saint Vincent and the Grenadines,2021-02-02,1424.103,24.0
Samoa,2021-02-15,5.04,195.0
San Marino,2021-04-06,2622.429,6.0
Sao Tome and Principe,2020-05-05,688.991,63.0
Saudi Arabia,2020-06-17,141.294,120.0
Senegal,2021-02-12,27.592,165.0
Serbia,2021-03-30,1467.097,22.0
Seychelles,2021-02-06,2186.292,9.0
Sierra Leone,2021-01-30,18.303,177.0
Singapore,2020-04-20,243.746,103.0
Slovakia,2020-12-31,1156.669,31.0
Slovenia,2021-01-06,1613.328,19.0
Solomon Islands,2020-11-02,7.279,189.0
Somalia,2021-03-19,20.449,173.0
South Africa,2021-01-08,370.603,90.0
South America,2021-04-09,378.213,89.0
South Korea,2020-12-24,24.128,169.0
South Sudan,2021-02-22,31.089,160.0
Spain,2021-01-25,2006.682,13.0
Sri Lanka,2021-04-27,51.884,144.0
Sudan,2021-01-10,27.709,164.0
Suriname,2020-08-18,236.945,105.0
Sweden,2020-12-29,3216.569,4.0
Switzerland,2020-11-02,2533.445,7.0
Syria,2021-03-22,9.828,187.0
Taiwan,2020-03-20,1.134,197.0
Tajikistan,2020-05-15,22.123,171.0
Tanzania,2020-04-29,3.03,196.0
Thailand,2021-04-24,40.673,154.0
Timor,2021-04-25,119.838,122.0
Togo,2021-04-01,48.921,148.0
Trinidad and Tobago,2020-09-18,155.056,118.0
Tunisia,2020-10-17,486.69,76.0
Turkey,2021-04-16,747.957,57.0
Uganda,2020-12-09,40.642,155.0
Ukraine,2021-04-03,467.739,78.0
United Arab Emirates,2021-02-03,402.107,87.0
United Kingdom,2021-01-08,1004.507,39.0
United States,2021-01-02,907.274,45.0
Uruguay,2021-04-09,2098.323,11.0
Uzbekistan,2020-08-04,29.311,161.0
Vanuatu,2021-03-08,6.511,190.0
Vatican,2020-10-15,8652.658,1.0
Venezuela,2021-04-04,62.808,136.0
Vietnam,2021-01-30,1.13,198.0
World,2021-04-22,115.43,124.0
Yemen,2021-04-01,5.834,193.0
Zambia,2021-01-16,97.694,128.0
Zimbabwe,2021-01-05,91.839,130.0
